Index,Manufacturer Part Number,Manufacturer Name,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1
1,TX24-40R-6ST-N1E,JAE Electronics,,2,2,Tray,670-1385-ND,1.64000,$3.28,1
2,TX25-40P-8ST-H1E,JAE Electronics,,2,2,Tray,670-1446-ND,1.81000,$3.62,1
3,LD09P13A4GX00LF,Amphenol ICC (FCI),,2,2,Tray,609-5183-ND,1.21000,$2.42,1
4,SN74AHC8541N,Texas Instruments,,2,2,Tube,296-38386-5-ND,1.60000,$3.20,1
5,SN74HC163N,Texas Instruments,,8,8,Tube,296-8246-5-ND,0.92000,$7.36,1
6,CD74AC161E,Texas Instruments,,1,1,Tube,296-32951-5-ND,0.85000,$0.85,1
7,CD74HCT238E,Texas Instruments,,2,2,Tube,296-2143-5-ND,0.77000,$1.54,1
8,SN74AHC573N,Texas Instruments,,13,13,Tube,296-4613-5-ND,0.70000,$9.10,1
9,SN74LS07N,Texas Instruments,,1,1,Tube,296-14878-5-ND,0.84000,$0.84,1
10,SN74HCT74N,Texas Instruments,,6,6,Tube,296-1625-5-ND,0.60000,$3.60,1
11,CD74HC86E,Texas Instruments,,2,2,Tube,296-12822-5-ND,0.82000,$1.64,1
12,CD74HC139E,Texas Instruments,,1,1,Tube,296-33023-5-ND,0.78000,$0.78,1
13,SN74HC257N,Texas Instruments,,11,11,Tube,296-8285-5-ND,0.82200,$9.04,1
14,CD74HC08E,Texas Instruments,,6,6,Tube,296-12773-5-ND,0.70000,$4.20,1
15,CD74HC00E,Texas Instruments,,7,7,Tube,296-12769-5-ND,0.73000,$5.11,1
16,CD74HC04E,Texas Instruments,,5,5,Tube,296-12772-5-ND,0.68000,$3.40,1
17,CD74HCT30E,Texas Instruments,,2,2,Tube,296-2111-5-ND,0.42000,$0.84,1
18,SN74AC32N,Texas Instruments,,3,3,Tube,296-4318-5-ND,0.67000,$2.01,1
19,CD74HCT640E,Texas Instruments,,1,1,Tube,296-2155-5-ND,3.63000,$3.63,1
20,CD74HC40103E,Texas Instruments,,3,3,Tube,296-9200-5-ND,1.85000,$5.55,1
21,2-5530843-7,TE Connectivity AMP Connectors,,1,1,Bulk,2-5530843-7-ND,3.15000,$3.15,1
22,71256SA12TPG,Renesas Electronics America Inc,,1,1,Tube,800-3674-ND,3.92000,$3.92,1
23,C315C104M5U5TA7301,KEMET,,97,97,Cut Tape (CT),399-14010-1-ND,0.08640,$8.38,1
24,CFM12JT3K30,Stackpole Electronics Inc,,11,11,Cut Tape (CT),S3.3KHCT-ND,0.06700,$0.74,1
25,CFM12JT150R,Stackpole Electronics Inc,,4,4,Cut Tape (CT),S150HCT-ND,0.10000,$0.40,1
26,860020273009,Würth Elektronik,,4,4,Cut Tape (CT),732-8911-1-ND,0.14000,$0.56,1
27,SN74HC161N,Texas Instruments,,2,2,Tube,296-8244-5-ND,0.73000,$1.46,1
28,CD74HC164E,Texas Instruments,,1,1,Tube,296-12788-5-ND,0.78000,$0.78,1
29,CD74HC564E,Texas Instruments,,1,1,Tube,296-26009-5-ND,1.04000,$1.04,1
